Data set title: null. 2023. Spartina alterniflora marsh vegetation data along the Georgia coast used in the Belowground Ecosystem Resiliency Model version 2.0. Georgia Coastal Ecosystems LTER Data Catalog (data set PLT-GCET-2308; /data/PLT-GCET-2308),,,,,
,,,,,
Date,Site,Plot,Percent_N,Percent_C,CN_Ratio
YYYY-MM-DD,none,none,percent,percent,none
datetime,code,nominal,data,data,calculation
2014-04-01,fluxa,m1,1.71,36.53,21.36
2014-04-01,fluxa,m2,1.45,37.84,26.1
2014-04-01,fluxa,s1,1.3,40.25,30.96
2014-04-01,fluxa,s2,1.5,39.4,26.27
2014-04-01,fluxa,t1,1.48,40.21,27.17
2014-04-01,fluxa,t2,1.99,40.61,20.41
2014-05-01,fluxa,m1,1.41,40.53,28.74
2014-05-01,fluxa,m2,1.51,40.75,26.99
2014-05-01,fluxa,m3,1.28,40.62,31.73
2014-05-01,fluxa,m4,1.53,41.37,27.04
2014-05-01,fluxa,m5,1.65,41.89,25.39
2014-05-01,fluxa,m6,1.37,39.92,29.14
2014-05-01,fluxa,s1,1.47,41.9,28.5
2014-05-01,fluxa,s2,1.42,40.65,28.63
2014-05-01,fluxa,s3,1.43,39.9,27.9
2014-05-01,fluxa,s4,1.31,40.71,31.08
2014-05-01,fluxa,s5,1.75,41.41,23.66
2014-05-01,fluxa,s6,1.46,41.05,28.12
2014-05-01,fluxa,t1,1.81,40.72,22.5
2014-05-01,fluxa,t2,1.66,40.49,24.39
2014-05-01,fluxa,t3,1.62,40.49,24.99
2014-05-01,fluxa,t4,1.53,39.59,25.88
2014-05-01,fluxa,t5,1.86,41.26,22.18
2014-05-01,fluxa,t6,1.9,41.89,22.05
2014-06-01,fluxa,m1,1.31,40.65,31.03
2014-06-01,fluxa,m2,1.5,39.63,26.42
2014-06-01,fluxa,m3,1.14,38.34,33.63
2014-06-01,fluxa,m4,1.48,45.59,30.8
2014-06-01,fluxa,m5,1.41,37.97,26.93
2014-06-01,fluxa,m6,1.51,40.14,26.58
2014-06-01,fluxa,s1,1.67,40.44,24.22
2014-06-01,fluxa,s2,1.45,38.87,26.81
2014-06-01,fluxa,s3,1.18,38.27,32.43
2014-06-01,fluxa,s4,1.14,39.04,34.25
2014-06-01,fluxa,s5,1.52,39.99,26.31
2014-06-01,fluxa,s6,1.43,39.65,27.73
2014-06-01,fluxa,t1,1.37,40.62,29.65
2014-06-01,fluxa,t2,1.27,41.38,32.58
2014-06-01,fluxa,t3,1.42,41.08,28.93
2014-06-01,fluxa,t4,1.3,41.12,31.63
2014-06-01,fluxa,t5,1.5,41.5,27.67
2014-06-01,fluxa,t6,,,
2014-07-01,fluxa,m1,1.66,42.51,25.61
2014-07-01,fluxa,m2,1.41,41.98,29.77
2014-07-01,fluxa,m3,1.39,42.85,30.83
2014-07-01,fluxa,m4,1.47,41.44,28.19
2014-07-01,fluxa,m5,1.29,42.6,33.02
2014-07-01,fluxa,m6,1.32,42.27,32.02
2014-07-01,fluxa,s1,1.27,41.45,32.64
2014-07-01,fluxa,s2,1.18,41.99,35.58
2014-07-01,fluxa,s3,1.29,40.68,31.53
2014-07-01,fluxa,s4,1.3,41.32,31.78
2014-07-01,fluxa,s5,1.14,41.45,36.36
2014-07-01,fluxa,s6,1.3,41.24,31.72
2014-07-01,fluxa,t1,1.45,41.7,28.76
2014-07-01,fluxa,t2,1.64,42.03,25.63
2014-07-01,fluxa,t3,1.4,41.65,29.75
2014-07-01,fluxa,t4,1.46,42.34,29
2014-07-01,fluxa,t5,1.6,41.68,26.05
2014-07-01,fluxa,t6,1.37,40.63,29.66
2014-08-01,fluxa,m1,1.48,41.43,27.99
2014-08-01,fluxa,m2,1.39,40.32,29.01
