Data set title: null. 2023. Spartina alterniflora marsh vegetation data along the Georgia coast used in the Belowground Ecosystem Resiliency Model version 2.0. Georgia Coastal Ecosystems LTER Data Catalog (data set PLT-GCET-2308; /data/PLT-GCET-2308),,,,,,,,,,
,,,,,,,,,,
Date,Site,Plot,Plant_species,Live_stem_count,Live_stem_g,Dead_stem_g,TotalBG_0_10_g,Rhizomes_0_10_g,TotalBG_10_30_g,Rhizomes_10_30_g
YYYY-MM-DD,none,none,none,count,grams,grams,grams,grams,grams,grams
datetime,code,nominal,code,data,data,data,data,data,data,data
2021-11-15,deans,dc1,spal,2,4.55,0,2.93,2.5,2.53,2.34
2021-08-12,deans,dc1,spal,4,5.9,0.25,5.59,3.93,2.48,1.45
2021-06-17,deans,dc1,spal,1,2.17,4.38,11.8,9.26,14.47,11.66
2022-02-28,deans,dc1,spal,4,1.52,1.31,2.35,1.37,0.76,0.7
2022-11-03,deans,dc1,spal,4,2.91,0.23,5.27,4.3,1.16,1.02
2023-02-16,deans,dc1,spal,3,1.87,0.2,2.52,1.74,0.6,0.46
2022-05-07,deans,dc1,spal,3,4.03,0.33,3.68,2.8,0.71,0.36
2022-08-07,deans,dc1,spal,4,3.35,0,3.57,2.33,0.65,0.58
2023-02-16,deans,dc2,spal,2,2,0,1.78,1.24,2.05,1.25
2022-02-28,deans,dc2,spal,3,3.02,6.97,5.16,3.48,4.11,3.1
2021-08-12,deans,dc2,spal,2,10.31,0.1,5,3.6,2.37,1.41
2021-11-15,deans,dc2,spal,2,3.89,0,3.28,2.71,3.64,2.89
2022-08-07,deans,dc2,spal,1,6.15,0,3.59,2.96,0.66,0.49
2021-06-17,deans,dc2,spal,2,11.12,0,3.57,3.27,5.6,4.4
2022-05-07,deans,dc2,spal,1,3.82,6.36,5.07,3.31,7.39,6.42
2022-11-03,deans,dc2,spal,3,4.3,0,2.73,1.62,2.19,1.79
2021-08-12,deans,dc3,spal,1,8.17,0,6.24,4.8,2.91,2
2021-06-17,deans,dc3,spal,2,10.72,8.19,9.35,7.66,7.82,6.09
2022-02-28,deans,dc3,spal,1,1.76,0,2.21,1.41,1.92,1.3
2022-08-07,deans,dc3,spal,1,6,0,1.72,1.02,2.95,1.9
2021-11-15,deans,dc3,spal,3,7.24,0,2.07,1.68,5.33,3.6
2023-02-16,deans,dc3,spal,3,2.79,4.93,7.97,5.54,5.25,3.19
2022-11-03,deans,dc3,spal,4,8,0,5.38,4.29,5.94,4.28
2022-05-07,deans,dc3,spal,1,2.84,0.21,2.24,1.26,4.05,2.6
2022-02-28,deans,dc4,spal,3,2.14,0,2.51,1.85,2.53,1.48
2021-08-12,deans,dc4,spal,4,9.86,0.02,6.91,4.15,3.39,1.11
2021-06-17,deans,dc4,spal,3,12.07,3.33,4.23,2.74,11.61,9.85
2022-11-03,deans,dc4,spal,5,5.42,0.13,5.21,3.17,3.87,2.77
2022-08-07,deans,dc4,spal,6,12.8,1.35,9.04,5.93,2.36,1.53
2021-11-15,deans,dc4,spal,4,9.19,0,6.18,4.44,2.47,1.83
2023-02-16,deans,dc4,spal,4,2.62,0,3.59,1.73,2.27,0.96
2022-05-07,deans,dc4,spal,3,4.97,0,2.48,0.97,1.28,0.53
2022-05-07,deans,dc5,spal,1,4.47,0,1.54,1.17,2.68,1.33
2023-02-16,deans,dc5,spal,4,9.05,0.54,2.55,1.76,8.13,5.5
2022-11-03,deans,dc5,spal,4,4.44,0,3.36,2.27,5.43,3.58
2021-06-17,deans,dc5,spal,1,4.02,5.1,4.5,3.94,13,10.04
2022-02-28,deans,dc5,spal,4,4.56,6.66,6.71,5.15,6.23,4.67
2021-11-15,deans,dc5,spal,5,4.92,2.57,3.16,2.45,1.89,0.79
2021-08-12,deans,dc5,spal,1,4.93,0.11,0.84,0.84,2.53,2.23
2022-08-07,deans,dc5,spal,1,3.04,0,2.58,1.75,3.08,2.37
2022-11-03,deans,dc6,spal,3,4.56,0.31,3.57,3.02,4.81,4.13
2022-02-28,deans,dc6,spal,3,9.17,0,3.45,2.32,4.71,3.73
2021-11-15,deans,dc6,spal,1,3.79,0,2.12,1.63,2.43,1.86
2023-02-16,deans,dc6,spal,2,1.47,0,0.69,0.47,1.59,0.84
