Data set title: null. 2023. Spartina alterniflora marsh vegetation data along the Georgia coast used in the Belowground Ecosystem Resiliency Model version 2.0. Georgia Coastal Ecosystems LTER Data Catalog (data set PLT-GCET-2308; /data/PLT-GCET-2308),,,,,,,,,
,,,,,,,,,
Date,Site,Plot,Plant_species,Zone,Plot_type,Quadrat_area,Plant_height,Allometric_1,Allometric_2
YYYY-MM-DD,none,none,none,none,none,cm^2,cm,grams,grams
datetime,code,nominal,code,code,nominal,calculation,data,calculation,calculation
2013-06-11,fluxa,m1,spal,S,quadrat,625,45,1.292586216,1.556471271
2013-06-11,fluxa,m1,spal,S,quadrat,625,30,0.577284766,0.938354393
2013-06-11,fluxa,m1,spal,S,quadrat,625,30,0.577284766,0.938354393
2013-06-11,fluxa,m1,spal,S,quadrat,625,40,1.022747215,1.343690295
2013-06-11,fluxa,m1,spal,S,quadrat,625,35,0.784296569,1.137420814
2013-06-11,fluxa,m1,spal,S,quadrat,625,10,0.064993967,0.238169512
2013-06-11,fluxa,m1,spal,S,quadrat,625,15,0.145526628,0.395057567
2013-06-11,fluxa,m1,spal,S,quadrat,625,45,1.292586216,1.556471271
2013-06-11,fluxa,m1,spal,S,quadrat,625,15,0.145526628,0.395057567
2013-06-11,fluxa,m1,spal,S,quadrat,625,15,0.145526628,0.395057567
2013-06-11,fluxa,m1,spal,S,quadrat,625,20,0.257822416,0.56570846
2013-06-11,fluxa,m1,spal,S,quadrat,625,55,1.926256288,1.999450371
2013-06-11,fluxa,m1,spal,S,quadrat,625,45,1.292586216,1.556471271
2013-06-11,fluxa,m2,spal,S,quadrat,625,45,1.292586216,1.556471271
2013-06-11,fluxa,m2,spal,S,quadrat,625,45,1.292586216,1.556471271
2013-06-11,fluxa,m2,spal,S,quadrat,625,15,0.145526628,0.395057567
2013-06-11,fluxa,m2,spal,S,quadrat,625,25,0.401770254,0.747382894
2013-06-11,fluxa,m2,spal,S,quadrat,625,15,0.145526628,0.395057567
2013-06-11,fluxa,m2,spal,S,quadrat,625,25,0.401770254,0.747382894
2013-06-11,fluxa,m2,spal,S,quadrat,625,30,0.577284766,0.938354393
2013-06-11,fluxa,m2,spal,S,quadrat,625,25,0.401770254,0.747382894
2013-06-11,fluxa,m2,spal,S,quadrat,625,35,0.784296569,1.137420814
2013-06-11,fluxa,m2,spal,S,quadrat,625,50,1.593769133,1.775209692
2013-06-11,fluxa,m2,spal,S,quadrat,625,20,0.257822416,0.56570846
2013-06-11,fluxa,m2,spal,S,quadrat,625,15,0.145526628,0.395057567
2013-06-11,fluxa,m2,spal,S,quadrat,625,10,0.064993967,0.238169512
2013-06-11,fluxa,m2,spal,S,quadrat,625,10,0.064993967,0.238169512
2013-06-11,fluxa,m2,spal,S,quadrat,625,25,0.401770254,0.747382894
2013-06-11,fluxa,m2,spal,S,quadrat,625,15,0.145526628,0.395057567
2013-06-11,fluxa,m2,spal,S,quadrat,625,60,2.290011844,2.228811799
2013-06-11,fluxa,m2,spal,S,quadrat,625,40,1.022747215,1.343690295
2013-06-11,fluxa,m2,spal,S,quadrat,625,20,0.257822416,0.56570846
2013-06-11,fluxa,m3,spal,S,quadrat,625,15,0.145526628,0.395057567
2013-06-11,fluxa,m3,spal,S,quadrat,625,30,0.577284766,0.938354393
2013-06-11,fluxa,m3,spal,S,quadrat,625,45,1.292586216,1.556471271
2013-06-11,fluxa,m3,spal,S,quadrat,625,20,0.257822416,0.56570846
2013-06-11,fluxa,m3,spal,S,quadrat,625,15,0.145526628,0.395057567
2013-06-11,fluxa,m3,spal,S,quadrat,625,60,2.290011844,2.228811799
2013-06-11,fluxa,m3,spal,S,quadrat,625,45,1.292586216,1.556471271
2013-06-11,fluxa,m3,spal,S,quadrat,625,25,0.401770254,0.747382894
2013-06-11,fluxa,m3,spal,S,quadrat,625,30,0.577284766,0.938354393
2013-06-11,fluxa,m3,spal,S,quadrat,625,10,0.064993967,0.238169512
2013-06-11,fluxa,m3,spal,S,quadrat,625,25,0.401770254,0.747382894
2013-06-11,fluxa,m4,spal,S,quadrat,625,25,0.401770254,0.747382894
2013-06-11,fluxa,m4,spal,S,quadrat,625,60,2.290011844,2.228811799
2013-06-11,fluxa,m4,spal,S,quadrat,625,50,1.593769133,1.775209692
2013-06-11,fluxa,m4,spal,S,quadrat,625,55,1.926256288,1.999450371
2013-06-11,fluxa,m4,spal,S,quadrat,625,25,0.401770254,0.747382894
2013-06-11,fluxa,m4,spal,S,quadrat,625,10,0.064993967,0.238169512
2013-06-11,fluxa,m4,spal,S,quadrat,625,50,1.593769133,1.775209692
2013-06-11,fluxa,m4,spal,S,quadrat,625,20,0.257822416,0.56570846
2013-06-11,fluxa,m4,spal,S,quadrat,625,30,0.577284766,0.938354393
2013-06-11,fluxa,m4,spal,S,quadrat,625,60,2.290011844,2.228811799
2013-06-11,fluxa,m4,spal,S,quadrat,625,10,0.064993967,0.238169512
2013-06-11,fluxa,m4,spal,S,quadrat,625,55,1.926256288,1.999450371
2013-06-11,fluxa,m4,spal,S,quadrat,625,45,1.292586216,1.556471271
2013-06-11,fluxa,m4,spal,S,quadrat,625,60,2.290011844,2.228811799
2013-06-11,fluxa,m4,spal,S,quadrat,625,10,0.064993967,0.238169512
2013-06-11,fluxa,m5,spal,S,quadrat,625,60,2.290011844,2.228811799
2013-06-11,fluxa,m5,spal,S,quadrat,625,55,1.926256288,1.999450371
2013-06-11,fluxa,m5,spal,S,quadrat,625,50,1.593769133,1.775209692
2013-06-11,fluxa,m5,spal,S,quadrat,625,10,0.064993967,0.238169512
2013-06-11,fluxa,m5,spal,S,quadrat,625,10,0.064993967,0.238169512
2013-06-11,fluxa,m5,spal,S,quadrat,625,15,0.145526628,0.395057567
2013-06-11,fluxa,m5,spal,S,quadrat,625,55,1.926256288,1.999450371
2013-06-11,fluxa,m5,spal,S,quadrat,625,35,0.784296569,1.137420814
2013-06-11,fluxa,m5,spal,S,quadrat,625,55,1.926256288,1.999450371
2013-06-11,fluxa,m5,spal,S,quadrat,625,40,1.022747215,1.343690295
