Data set title: null. 2023. Spartina alterniflora marsh vegetation data along the Georgia coast used in the Belowground Ecosystem Resiliency Model version 2.0. Georgia Coastal Ecosystems LTER Data Catalog (data set PLT-GCET-2308; /data/PLT-GCET-2308),,,,,,
,,,,,,
Date,Site,Plot,Species,Vegplot_area,LAI,SPAD_chlorophyll_reading
YYYY-MM-DD,none,none,none,cm^2,none,mg/g
datetime,code,nominal,nominal,calculation,data,data
2013-06-11,fluxa,m1,spal,625,,
2013-06-11,fluxa,m2,spal,625,,
2013-06-11,fluxa,m3,spal,625,,
2013-06-11,fluxa,m4,spal,625,,
2013-06-11,fluxa,m5,spal,625,,
2013-06-11,fluxa,m6,spal,625,,
2013-06-11,fluxa,s1,spal,625,,
2013-06-11,fluxa,s2,spal,625,,
2013-06-11,fluxa,s3,spal,625,,
2013-06-11,fluxa,s4,spal,625,,
2013-06-11,fluxa,s5,spal,625,,
2013-06-11,fluxa,s6,spal,625,,
2013-06-11,fluxa,t1,spal,3025,,
2013-06-11,fluxa,t2,spal,3025,,
2013-06-11,fluxa,t3,spal,3025,,
2013-06-11,fluxa,t4,spal,3025,,
2013-06-11,fluxa,t5,spal,3025,,
2013-06-11,fluxa,t6,spal,3025,,
2013-07-10,fluxa,m1,spal,625,,
2013-07-10,fluxa,m2,spal,625,,
2013-07-10,fluxa,m3,spal,625,,
2013-07-10,fluxa,m4,spal,625,,
2013-07-10,fluxa,m5,spal,625,,
2013-07-10,fluxa,m6,spal,625,,
2013-07-10,fluxa,s1,spal,625,,
2013-07-10,fluxa,s2,spal,625,,
2013-07-10,fluxa,s3,spal,625,,
2013-07-10,fluxa,s4,spal,625,,
2013-07-10,fluxa,s5,spal,625,,
2013-07-10,fluxa,s6,spal,625,,
2013-07-10,fluxa,t1,spal,3025,,
2013-07-10,fluxa,t2,spal,3025,,
2013-07-10,fluxa,t3,spal,3025,,
2013-07-10,fluxa,t4,spal,3025,,
2013-07-10,fluxa,t5,spal,3025,,
2013-07-10,fluxa,t6,spal,3025,,
2013-08-12,fluxa,m1,spal,625,,
2013-08-12,fluxa,m2,spal,625,,
2013-08-12,fluxa,m3,spal,625,,
2013-08-12,fluxa,m4,spal,625,,
2013-08-12,fluxa,m5,spal,625,,
2013-08-12,fluxa,m6,spal,625,,
2013-08-12,fluxa,s1,spal,625,,
