plot,utm_north,utm_east,lat,long,elevation,pix
dc1,3472557.47717655,473873.726197368,31.38729147,-81.27478715,0.751,dca
dc2,3472568.26004232,473878.641145453,31.38738887,-81.27473574,0.628,dca
dc3,3472581.48485159,473887.879715168,31.3875084,-81.27463892,0.871,dcb
dc4,3472586.88855213,473895.636429772,31.38755733,-81.27455748,0.804,dcb
dc5,3472591.81135449,473902.904182036,31.38760191,-81.27448117,0.913,dcb
dc6,3472594.57135731,473909.019882099,31.38762695,-81.27441692,0.683,dcb
dc7,3472599.76986867,473917.286637235,31.38767404,-81.27433011,0.916,dcc
dc8,3472605.66526383,473922.546831054,31.38772735,-81.27427494,0.887,dcc
dc9,3472609.34958763,473923.787285722,31.38776062,-81.27426199,0.798,dcd
du1,3475504.97246534,471712.712662158,31.41383465,-81.29759959,1.105,dua
du2,3475497.87412987,471721.51147978,31.41377082,-81.29750682,1.082,dua
du3,3475492.74317995,471727.823350452,31.41372468,-81.29744027,1.01,dua
du4,3475470.96151847,471753.867839864,31.41352879,-81.29716565,0.924,dub
du5,3475479.05746904,471745.017495302,31.41360162,-81.29725899,0.935,dub
du6,3475462.16106407,471758.062500652,31.41344949,-81.29712127,0.956,dub
du7,3475446.11257293,471773.562209524,31.41330507,-81.29695775,0.918,duc
du8,3475438.53080736,471780.400766212,31.41323683,-81.29688559,0.911,duc
du9,3475430.98452469,471788.466566154,31.41316894,-81.29680052,0.903,duc
fr1,3478084.4453184,467587.167624236,31.43699974,-81.34108647,0.826,fra
fr2,3478078.86071398,467579.915674852,31.43694915,-81.3411626,0.905,fra
fr3,3478071.69892995,467571.239074052,31.43688429,-81.34125367,0.928,fra
fr4,3478056.02862793,467557.488985572,31.43674252,-81.34139785,0.912,frb
fr5,3478049.46605077,467549.662830521,31.43668309,-81.34147999,0.905,frb
fr6,3478041.30468049,467542.017953447,31.43660924,-81.34156017,0.901,frb
fr7,3478025.39686754,467526.246700886,31.43646527,-81.34172561,0.882,frc
fr8,3478017.90424283,467518.474627527,31.43639745,-81.34180715,0.885,frc
fr9,3478011.75561121,467511.198982706,31.43634177,-81.34188351,0.892,frc
hc9,3482569.03545107,474300.680948784,31.47763047,-81.27055593,0.585,hcc
hc8,3482577.28269248,474300.665188891,31.47770488,-81.27055631,0.594,hcc
hc7,3482588.93860658,474300.4431616,31.47781004,-81.27055895,0.587,hcc
hc6,3482598.34257136,474301.484618011,31.47789491,-81.27054823,0.533,hcb
hc5,3482608.25129049,474300.992317086,31.4779843,-81.27055367,0.541,hcb
hc4,3482617.53078506,474300.821423316,31.47806802,-81.27055571,0.553,hcb
hc3,3482628.97477465,474300.24362164,31.47817126,-81.27056209,0.562,hca
hc2,3482638.34890793,474300.797715966,31.47825585,-81.2705565,0.641,hca
hc1,3482648.4281227,474300.832067866,31.47834679,-81.2705564,0.684,hca
ns4,3487176.55705169,478208.438069493,31.51928194,-81.22951788,0.932,nsb
ns5,3487166.9893494,478200.175798395,31.51919546,-81.22960469,0.875,nsb
ns6,3487159.89903547,478193.923958314,31.51913137,-81.22967038,0.859,nsb
ns7,3487145.32456067,478179.493924399,31.5189996,-81.22982204,0.848,nsc
ns8,3487138.05159042,478171.557333025,31.51893383,-81.22990547,0.817,nsc
ns9,3487129.26599604,478162.965277134,31.5188544,-81.22999577,0.827,nsc
ns1,3487178.07291324,478133.586148336,31.5192942,-81.23030628,0.742,nsa
ns2,3487169.34916006,478140.411499643,31.51921562,-81.2302342,0.767,nsa
ns3,3487160.68056091,478148.947900507,31.51913757,-81.2301441,0.791,nsa
t1,3479532.2869016,472920.782294537,31.4502,-81.285,0.688,faa
t2,3479532.26224625,472930.283810392,31.4502,-81.2849,0.687,faa
t3,3479532.26224625,472930.283810392,31.4502,-81.2849,0.631,faa
t4,3479532.26224625,472930.283810392,31.4502,-81.2849,0.623,faa
t5,3479521.15424845,472939.756581364,31.4501,-81.2848,0.588,fab
t6,3479521.15424845,472939.756581364,31.4501,-81.2848,0.645,fab
t8,3479541.31749748,472917.407418965,31.45028,-81.28503,0.685161,faf
t7,3479543.04846699,472914.877540459,31.450296,-81.285062,0.619249,faf
m1,3479498.93827958,472958.702184004,31.4499,-81.2846,0.779,fac
m2,3479498.93827958,472958.702184004,31.4499,-81.2846,0.784,fac
m3,3479498.93827958,472958.702184004,31.4499,-81.2846,0.792,fac
m4,3479510.02163026,472958.730908497,31.45,-81.2846,0.781,fab
m5,3479510.04625956,472949.229372569,31.45,-81.2847,0.773,fab
m6,3479510.04625956,472949.229372569,31.45,-81.2847,0.743,fab
s1,3479498.79068577,473015.711459336,31.4499,-81.284,0.797,fad
s2,3479487.70733553,473015.682795485,31.4498,-81.284,0.791,fad
s3,3479498.76611709,473025.213005093,31.4499,-81.2839,0.794,fae
s4,3479498.74155706,473034.714550813,31.4499,-81.2838,0.793,fae
s5,3479509.84946746,473025.241658933,31.45,-81.2839,0.819,fag
s6,3479498.79068577,473015.711459336,31.4499,-81.284,0.806,fad
fb1,3478566.25916997,473611.954698831,31.4415,-81.2777,0.718,fba
fb2,3478555.17583699,473611.926677606,31.4414,-81.2777,0.711,fba
fb3,3478555.19986555,473602.424276347,31.4414,-81.2778,0.709,fba
fb4,3478533.08128291,473583.363370965,31.4412,-81.278,0.676,fbb
fb5,3478533.08128291,473583.363370965,31.4412,-81.278,0.7,fbb
fb6,3478522.0220047,473573.832888069,31.4411,-81.2781,0.685,fbb
fb7,3478510.98680686,473554.799943227,31.441,-81.2783,0.748,fbc
fb8,3478499.90347449,473554.771861861,31.4409,-81.2783,0.754,fbc
fb9,3478488.84422249,473545.241318551,31.4408,-81.2784,0.75,fbc
sk1,3538939.73064705,497109.24298061,31.9865,-81.0306,0.896,ska
sk2,3538950.81754667,497099.799207912,31.9866,-81.0307,0.867,ska
sk3,3538961.90445521,497090.355455712,31.9867,-81.0308,0.85,ska
sk4,3538972.99137266,497080.911724014,31.9868,-81.0309,0.797,skb
sk5,3538984.07829904,497071.468012816,31.9869,-81.031,0.772,skb
sk6,3538984.08101097,497062.021135029,31.9869,-81.0311,0.736,skb
sk7,3539006.25490795,497043.133794624,31.9871,-81.0313,0.722,skc
sk8,3539017.34186982,497033.690155171,31.9872,-81.0314,0.712,skc
sk9,3539006.25217854,497052.580651924,31.9871,-81.0312,0.736,skc
ug1,3473923.39803789,473191.436300147,31.3996,-81.282,0.706,uga
ug2,3473912.31477541,473191.407879248,31.3995,-81.282,0.766,uga
ug3,3473901.23151311,473191.379458431,31.3994,-81.282,0.764,uga
ug4,3473890.14825098,473191.351037696,31.3993,-81.282,0.758,ugb
ug5,3473879.06498902,473191.322617043,31.3992,-81.282,0.782,ugb
ug6,3473867.98172723,473191.294196471,31.3991,-81.282,0.816,ugb
ug7,3473856.89846562,473191.265775981,31.399,-81.282,0.831,ugc
ug8,3473845.81520418,473191.237355573,31.3989,-81.282,0.846,ugc
ug9,3473834.73194291,473191.208935247,31.3988,-81.282,0.887,ugc
