"plot","sampleid","site","vegplot_area_cm2","species.x","LAI","chl","spal_live_stem_count","core_area_cm2","core_live_stem_count","plot_ag_1","plot_ag_2","stemsm2","species.y","live_stem_g","dead_stem_g","TotalBG_0_10_g","Rhizomes_0_10_g","TotalBG_10_30_g","Rhizomes_10_30_g","ag.total","survey","area","bg.total","rhiz.total","rhiz.shoot","rhiz.green.shoot","rhizm2.core","rootgreenshoot","rootshoot","bgm2.core","agm2.core","date","percent_n","percent_c","cn_ratio","percentC","percentN","elevation","lat","long","bgm2.areascaled","agm2.core.areascaled","rhizm2.areascaled","bgm2.core.stemscaled","agm2.core.stemscaled","zone","agm2.allom","agm2.allom.new","bgm2.allometric.rootshoot","bgm2.allometric.rootgreenshoot","bgm2.allo.new.rootshoot","bgm2.allo.new.rootgreenshoot","rhizm2.allometric.rootshoot","rhizm2.allometric.rootgreenshoot","rhizm2.allo.new.rootshoot","rhizm2.allo.new.rootgreenshoot","rhizm2.core.stemscaled","AGCg","wholeplantCg"
"dc1","106dc1","deans",625,"spal",1.37,1.3,22,45.6036731187748,4,28.4620469504514,29.1998243717487,352,"spal",5.9,0.25,5.59,3.93,2.48,1.45,6.15,106,45.6036731187748,8.07,5.38,0.87479674796748,0.911864406779661,1179.72953318646,1.36779661016949,1.31219512195122,1769.59429977969,1348.57558161649,2021-08-12,1.1,50.2,45.64,50.2,1.1,0.751,31.38729147,-81.27478715,1769.59429977969,1348.57558161649,1179.72953318646,710.16,541.2,NA,455.392751207223,467.19718994798,597.564146706063,622.884661396998,613.053873639056,639.030732691559,398.376097804042,415.256440931332,408.702582426037,426.020488461039,86.08,228.607161106026,1565.32128046088
"dc1","125dc1","deans",625,"spal",1.02,1.5,13,45.6036731187748,3,8.37556663929811,12.272823850044,208,"spal",1.87,0.2,2.52,1.74,0.6,0.46,2.07,125,45.6036731187748,3.12,2.2,1.06280193236715,1.17647058823529,482.417281228663,1.66844919786096,1.50724637681159,684.155417015195,453.910805519697,2023-02-16,2.1,42.5,20.24,42.25,2.1,0.751,31.38729147,-81.27478715,684.155417015195,453.910805519697,482.417281228663,216.32,143.52,NA,134.00906622877,196.365181600705,201.984679533218,223.587319055487,295.970708499613,327.625329729518,142.425094542654,157.657724975023,208.697294454855,231.017860706711,35.2,56.6188304816552,480.832979020992
"dc1","109dc1","deans",625,"spal",0.98,1.2,17,45.6036731187748,2,18.7081854716524,21.5632591021294,272,"spal",4.55,0,2.93,2.5,2.53,2.34,4.55,109,45.6036731187748,5.46,4.84,1.06373626373626,1.06373626373626,1061.31801870306,1.2,1.2,1197.27197977659,997.726649813826,2021-11-15,1.5,41.5,27.67,41.5,1.5,0.751,31.38729147,-81.27478715,1197.27197977659,997.726649813826,1061.31801870306,742.56,618.8,NA,299.330967546438,345.012145634071,359.197161055726,359.197161055726,414.014574760885,414.014574760885,318.409205038409,318.409205038409,367.001930740418,367.001930740418,77.44,124.222351531772,910.924431280023
"dc1","113dc1","deans",625,"spal",0.94,0.9,23,45.6036731187748,4,25.0099420255024,30.3768467552819,368,"spal",1.52,1.31,2.35,1.37,0.76,0.7,2.83,113,45.6036731187748,3.11,2.07,0.731448763250883,1.36184210526316,453.910805519697,2.04605263157895,1.09893992932862,681.962611191428,620.564048125962,2022-02-28,1.2,41.7,34.75,41.7,1.2,0.751,31.38729147,-81.27478715,681.962611191428,620.564048125962,453.910805519697,286.12,260.36,NA,400.159072408038,486.02954808451,439.750782752296,818.746523150656,534.117277223613,994.442035883438,292.69585861648,544.953473608315,355.505711849801,661.89550298351,33.12,166.866333194152,543.153616935352
"dc1","116dc1","deans",625,"spal",1.19,1.2,22,45.6036731187748,3,45.9241796448553,44.450621215304,352,"spal",4.03,0.33,3.68,2.8,0.71,0.36,4.36,116,45.6036731187748,4.39,3.16,0.724770642201835,0.784119106699752,692.926640310261,1.0893300248139,1.00688073394495,962.64175663356,956.06333916226,2022-05-07,1.3,37.1,28.54,37.1,1.3,0.751,31.38729147,-81.27478715,962.64175663356,956.06333916226,692.926640310261,515.093333333333,511.573333333333,NA,734.786874317684,711.209939444864,739.842747306109,800.425404033408,716.103585817191,774.742340983363,532.551954780707,576.160427504685,515.464084551782,557.673302393491,50.56,272.605930371861,711.839590540249
"dc1","104dc1","deans",625,"spal",3.42,1,8,45.6036731187748,1,15.6794753253192,15.6218122943627,128,"spal",2.17,4.38,11.8,9.26,14.47,11.66,6.55,104,45.6036731187748,26.27,20.92,3.19389312977099,9.64055299539171,4587.34978331983,12.1059907834101,4.01068702290076,5760.50089903499,1436.28781456716,2021-06-17,1.2,38.9,32.42,38.9,1.2,0.751,31.38729147,-81.27478715,5760.50089903499,1436.28781456716,4587.34978331983,3362.56,838.4,NA,250.871605205108,249.948996709804,1006.16749141041,3037.04934043234,1002.46719749108,3025.8802504915,801.257096319215,2418.54100501883,798.310383384595,2409.64654892585,334.72,97.589054424787,2799.55080959124
"dc1","122dc1","deans",NA,NA,NA,NA,NA,45.6036731187748,4,25.222197665951,25.9173298437161,NA,"spal",2.91,0.23,5.27,4.3,1.16,1.02,3.14,122,45.6036731187748,6.43,5.32,1.69426751592357,1.82817869415808,1166.57269824386,2.20962199312715,2.04777070063694,1409.97414468196,688.541028662728,2022-11-03,1.9,45.8,24.11,45.8,1.9,0.751,31.38729147,-81.27478715,1409.97414468196,688.541028662728,1166.57269824386,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,961.119949391865
"dc1","119dc1","deans",625,"spal",1.14,1.1,13,45.6036731187748,4,15.7766077440533,17.3080912023853,208,"spal",3.35,0,3.57,2.33,0.65,0.58,3.35,119,45.6036731187748,4.22,2.91,0.86865671641791,0.86865671641791,638.106494716095,1.25970149253731,1.25970149253731,925.364057629526,734.589950961828,2022-08-07,1.4,42.8,30.57,42.85,1.4,0.751,31.38729147,-81.27478715,925.364057629526,734.589950961828,638.106494716095,219.44,174.2,NA,252.425723904852,276.929459238165,317.981061157754,317.981061157754,348.848453129868,348.848453129868,219.271300466603,219.271300466603,240.556634741212,240.556634741212,46.56,108.164422693229,711.290292681395
"dc2","125dc2","deans",625,"spal",1.38,1.3,16,45.6036731187748,2,19.2145622922648,21.4832153235025,256,"spal",2,0,1.78,1.24,2.05,1.25,2,125,45.6036731187748,3.83,2.49,1.245,1.245,546.008650117896,1.915,1.915,839.844630502627,438.56116475333,2023-02-16,1.9,42.3,22.26,42.3,1.9,0.628,31.38738887,-81.27473574,839.844630502627,438.56116475333,546.008650117896,490.24,256,NA,307.432996676237,343.73144517604,588.734188634994,588.734188634994,658.245717512117,658.245717512117,382.754080861915,382.754080861915,427.94564924417,427.94564924417,39.84,130.044157594048,540.76565139327
"dc2","113dc2","deans",625,"spal",1.28,1.1,12,45.6036731187748,3,21.8740413100377,21.4718055083672,192,"spal",3.02,6.97,5.16,3.48,4.11,3.1,9.99,113,45.6036731187748,9.27,6.58,0.658658658658659,2.17880794701987,1442.86623203846,3.06953642384106,0.927927927927928,2032.73099863168,2190.61301794288,2022-02-28,1.4,50.8,36.29,50.8,1.4,0.628,31.38738887,-81.27473574,2032.73099863168,2190.61301794288,1442.86623203846,593.28,639.36,NA,349.984660960604,343.548888133876,324.760541251731,1074.29066460424,318.788607908011,1054.53582549703,230.520427339417,762.549360636017,226.281449841932,748.527047655928,105.28,177.792207767987,2145.45876041988
