"date","plot","bgm2.areascaled","agm2.core.areascaled","bgm2.core.stemscaled","agm2.core.stemscaled","agm2.allom","bgm2.allometric.rootshoot","bgm2.allometric.rootgreenshoot","agm2.allom.new","bgm2.allo.new.rootshoot","bgm2.allo.new.rootgreenshoot","rhizm2.allometric.rootshoot","rhizm2.allometric.rootgreenshoot","rhizm2.allo.new.rootshoot","rhizm2.allo.new.rootgreenshoot","rhizm2.areascaled","rhizm2.core.stemscaled","chlorophyll","LAI","percentN","year","mo","site"
2013-06-12,"m1",2608.53156235524,NA,NA,NA,157.271979303065,NA,NA,212.744171626228,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013,6,"fa"
2013-06-19,"m1",3645.95555897863,NA,NA,NA,191.373088472673,NA,NA,244.191080616666,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013,6,"fa"
2013-06-26,"m1",4683.37955560202,NA,NA,NA,225.474197642281,NA,NA,275.637989607105,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013,6,"fa"
2013-07-03,"m1",5720.80355222542,NA,NA,NA,259.57530681189,NA,NA,307.084898597543,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013,7,"fa"
2013-07-10,"m1",6758.22754884881,NA,NA,NA,293.676415981498,NA,NA,338.531807587982,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013,7,"fa"
2013-07-17,"m1",5712.59141421875,NA,NA,NA,305.075322961526,NA,NA,346.379042417762,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013,7,"fa"
2013-07-24,"m1",4666.95527958869,NA,NA,NA,316.474229941555,NA,NA,354.226277247541,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013,7,"fa"
2013-07-31,"m1",3621.31914495863,NA,NA,NA,327.873136921583,NA,NA,362.073512077321,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013,7,"fa"
2013-08-07,"m1",2575.68301032857,NA,NA,NA,339.272043901611,NA,NA,369.9207469071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013,8,"fa"
2013-08-14,"m1",1848.74751645049,NA,NA,NA,349.760804001052,NA,NA,378.317772213666,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013,8,"fa"
2013-08-21,"m1",1918.56362445235,NA,NA,NA,357.974196899024,NA,NA,388.089273712199,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013,8,"fa"
